"5054, Maitselt mahe kurk, SALVEST, 1,6 kg","31694, Marineeritud kurk mesine, MÕISAPROUA, 1 kg","4051, Kurk Luunja, kg",Eesti And Hapukurk 1kg/neto 500g ämbris,Mõisaproua marineeritud kurk 1kg,"275290, Kurk Luunja kg","269173, Kurk, kg Hispaania","Kurk pikk, kiles, kg","916599, Lühike kurk kg","4157, Pikk kurk, kg",Eesti And Värske soolakurk 1kg/neto500g,"4173, Kurk lühike, kg","278785, Lühike kurk, kg","5899685, Lühike kurk pakitud, kg"
4.39,2.49,5.99,2.95,2.65,4.49,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.95,2.65,4.49,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.95,2.65,4.49,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.95,2.65,4.29,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.95,2.65,4.29,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.95,2.65,4.29,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.29,3.29,2.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.29,3.29,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.29,3.29,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.29,3.29,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.29,3.29,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.29,3.29,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.29,3.29,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.29,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.29,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.29,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.39,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.39,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.39,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.79,2.79,2.65,4.39,2.99,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.39,2.99,1.49,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.39,2.59,1.49,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.39,2.59,1.49,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,5.99,2.79,2.65,4.39,2.59,1.49,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.39,2.59,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,1.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,1.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,1.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,1.99,4.99,3.29,4.39,4.99,4.59,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,1.99,4.99,3.29,4.39,4.99,3.99,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,1.99,4.99,3.29,4.39,4.99,3.99,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,3.99,8.99
4.39,2.49,4.39,2.79,2.65,4.29,2.59,2.79,4.99,3.29,4.39,4.99,3.99,8.99
4.39,2.49,4.39,2.79,2.65,3.99,2.59,2.59,4.99,3.29,4.39,4.99,3.99,8.99
4.39,2.49,4.39,2.79,2.65,3.99,2.59,2.59,4.99,3.29,4.39,4.99,3.99,8.99
